radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220328-DAT_0228_A1_2,0.0,538257.4,8670304.77,698.708,603.558,0.0,603.558,0.0,0.0,1.921,certain_cold
dronbreen-20220328-DAT_0228_A1_2,5.0,538262.24,8670304.4,698.403,604.191,0.0,604.191,0.0,0.0,1.903,certain_cold
dronbreen-20220328-DAT_0228_A1_2,10.0,538267.48,8670303.26,698.033,604.342,0.0,604.342,0.0,0.0,1.893,certain_cold
dronbreen-20220328-DAT_0228_A1_2,15.0,538272.05,8670301.73,697.682,604.303,0.0,604.303,0.0,0.0,1.886,certain_cold
dronbreen-20220328-DAT_0228_A1_2,20.0,538276.4,8670300.24,697.355,604.185,0.0,604.185,0.0,0.0,1.882,certain_cold
dronbreen-20220328-DAT_0228_A1_2,25.0,538281.91,8670298.58,696.975,604.221,0.0,604.221,0.0,0.0,1.872,certain_cold
dronbreen-20220328-DAT_0228_A1_2,30.0,538286.06,8670297.21,696.666,604.33,0.0,604.33,0.0,0.0,1.864,certain_cold
dronbreen-20220328-DAT_0228_A1_2,35.0,538290.87,8670295.65,696.294,604.687,0.0,604.687,0.0,0.0,1.851,certain_cold
dronbreen-20220328-DAT_0228_A1_2,40.0,538295.55,8670294.2,695.931,604.95,0.0,604.95,0.0,0.0,1.839,certain_cold
dronbreen-20220328-DAT_0228_A1_2,45.0,538300.32,8670293.01,695.592,605.028,0.0,605.028,0.0,0.0,1.833,certain_cold
dronbreen-20220328-DAT_0228_A1_2,50.0,538305.7,8670291.94,695.247,605.308,0.0,605.308,0.0,0.0,1.82,certain_cold
dronbreen-20220328-DAT_0228_A1_2,55.0,538310.4,8670291.21,694.95,605.323,0.0,605.323,0.0,0.0,1.812,certain_cold
dronbreen-20220328-DAT_0228_A1_2,60.0,538315.25,8670290.79,694.622,605.308,0.0,605.308,0.0,0.0,1.806,certain_cold
dronbreen-20220328-DAT_0228_A1_2,65.0,538321.05,8670290.46,694.212,605.315,0.0,605.315,0.0,0.0,1.8,certain_cold
dronbreen-20220328-DAT_0228_A1_2,70.0,538325.5,8670290.33,693.91,605.325,0.0,605.325,0.0,0.0,1.794,certain_cold
dronbreen-20220328-DAT_0228_A1_2,75.0,538330.57,8670290.29,693.566,605.398,0.0,605.398,0.0,0.0,1.785,certain_cold
dronbreen-20220328-DAT_0228_A1_2,80.0,538335.7,8670290.07,693.196,605.236,0.0,605.236,0.0,0.0,1.779,certain_cold
dronbreen-20220328-DAT_0228_A1_2,85.0,538340.26,8670289.64,692.85,605.099,0.0,605.099,0.0,0.0,1.775,certain_cold
dronbreen-20220328-DAT_0228_A1_2,90.0,538345.81,8670288.86,692.397,605.167,0.0,605.167,0.0,0.0,1.765,certain_cold
dronbreen-20220328-DAT_0228_A1_2,95.0,538350.48,8670288.19,691.985,604.964,0.0,604.964,0.0,0.0,1.761,certain_cold
dronbreen-20220328-DAT_0228_A1_2,100.0,538354.83,8670287.45,691.591,604.674,0.0,604.674,0.0,0.0,1.759,certain_cold
dronbreen-20220328-DAT_0228_A1_2,105.0,538359.84,8670286.66,691.149,604.857,0.0,604.857,0.0,0.0,1.746,certain_cold
dronbreen-20220328-DAT_0228_A1_2,110.0,538365.44,8670285.76,690.688,605.126,0.0,605.126,0.0,0.0,1.732,certain_cold
dronbreen-20220328-DAT_0228_A1_2,115.0,538369.71,8670284.89,690.323,605.177,0.0,605.177,0.0,0.0,1.723,certain_cold
dronbreen-20220328-DAT_0228_A1_2,120.0,538374.69,8670283.17,689.828,605.203,0.0,605.203,0.0,0.0,1.713,certain_cold
dronbreen-20220328-DAT_0228_A1_2,125.0,538379.18,8670281.44,689.325,605.326,0.0,605.326,0.0,0.0,1.703,certain_cold
dronbreen-20220328-DAT_0228_A1_2,130.0,538384.19,8670279.82,688.711,605.025,0.0,605.025,0.0,0.0,1.697,certain_cold
dronbreen-20220328-DAT_0228_A1_2,135.0,538389.06,8670278.19,688.123,605.062,0.0,605.062,0.0,0.0,1.684,certain_cold
dronbreen-20220328-DAT_0228_A1_2,140.0,538394.0,8670276.47,687.565,605.13,0.0,605.13,0.0,0.0,1.674,certain_cold
dronbreen-20220328-DAT_0228_A1_2,145.0,538398.24,8670275.05,687.088,604.756,0.0,604.756,0.0,0.0,1.67,certain_cold
